,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Spicy (feat. Post Malone)","Ty Dolla $ign",395014,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
55,"Mood Swings (feat. Lil Tjay)","Pop Smoke",391900,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
56,Circles,"Post Malone",377755,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
57,Daisy,Ashnikko,375036,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
58,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",370210,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
59,"The Box","Roddy Ricch",370168,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
60,Golden,"Harry Styles",365841,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
61,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,365121,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
62,"Someone You Loved","Lewis Capaldi",361181,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
63,"Before You Go","Lewis Capaldi",360532,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
64,"Go Crazy","Chris Brown",348526,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
65,"Smile (with The Weeknd)","Juice WRLD",346434,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
66,"Sweater Weather","The Neighbourhood",341664,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
67,"Savage Love (Laxed - Siren Beat)","Jawsh 685",340000,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
68,"Midnight Sky","Miley Cyrus",339390,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
69,"All I Want for Christmas Is You","Mariah Carey",336682,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
70,"Better Together","Luke Combs",331890,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
71,"death bed (coffee for your head)",Powfu,321754,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
72,"Train Wreck","James Arthur",320635,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
73,"Electric Love",BØRNS,316115,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
74,"SLOW DANCING IN THE DARK",Joji,315747,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
75,goosebumps,"Travis Scott",310959,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
76,"Daddy Issues","The Neighbourhood",310925,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
77,"Adore You","Harry Styles",310235,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
78,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",307935,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
79,"Are You Bored Yet? (feat. Clairo)",Wallows,307711,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
80,"Wolves (feat. Post Malone)","Big Sean",307086,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
81,"If the World Was Ending - feat. Julia Michaels","JP Saxe",306927,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
82,"GO (feat. Juice WRLD)","The Kid LAROI",306780,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
83,"7 Summers","Morgan Wallen",304776,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy
84,"Head & Heart (feat. MNEK)","Joel Corry",304477,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
85,"Party Girl",StaySolidRocky,303796,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
86,"hot girl bummer",blackbear,302847,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
87,"Got It On Me","Pop Smoke",302689,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
88,"Roses - Imanbek Remix","SAINt JHN",302397,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
89,"More Than My Hometown","Morgan Wallen",302367,https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz
90,"After Party","Don Toliver",299434,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
91,"Excitement (feat. PARTYNEXTDOOR)","Trippie Redd",296568,https://open.spotify.com/track/7FullO2NDkyvxLuxYVKINa
92,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",296153,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a
93,Diamonds,"Sam Smith",296048,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
94,"Life Is Good (feat. Drake)",Future,293828,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
95,Righteous,"Juice WRLD",293352,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
96,"Jocelyn Flores",XXXTENTACION,288761,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
97,21,"Polo G",284119,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
