,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",1580452,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,34+35,"Ariana Grande",1354068,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1059535,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,"Mood (feat. iann dior)",24kGoldn,985489,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,"motive (with Doja Cat)","Ariana Grande",972168,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
6,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",876688,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
7,Dakiti,"Bad Bunny",863313,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
8,pov,"Ariana Grande",837321,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
9,"off the table (with The Weeknd)","Ariana Grande",815851,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
10,"WAP (feat. Megan Thee Stallion)","Cardi B",803458,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,"just like magic","Ariana Grande",795686,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
12,"What You Know Bout Love","Pop Smoke",774505,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
13,"Laugh Now Cry Later (feat. Lil Durk)",Drake,749938,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
14,"Forever After All","Luke Combs",716421,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
15,"safety net (feat. Ty Dolla $ign)","Ariana Grande",697741,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
16,nasty,"Ariana Grande",689133,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
17,"shut up","Ariana Grande",687774,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
18,"Lonely (with benny blanco)","Justin Bieber",683193,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
19,"Tyler Herro","Jack Harlow",651889,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
20,"six thirty","Ariana Grande",635502,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
21,"my hair","Ariana Grande",622682,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
22,"Holy (feat. Chance The Rapper)","Justin Bieber",605222,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
23,"Come & Go (with Marshmello)","Juice WRLD",582492,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
24,obvious,"Ariana Grande",575822,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA
25,"Blinding Lights","The Weeknd",567978,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,"west side","Ariana Grande",550986,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
27,"love language","Ariana Grande",545687,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq
28,"Put Your Records On","Ritt Momney",544879,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
29,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,537334,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
30,Heather,"Conan Gray",532693,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
31,"Wishing Well","Juice WRLD",528931,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
32,"you broke me first","Tate McRae",521730,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
33,Dynamite,BTS,464768,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
34,"Watermelon Sugar","Harry Styles",462268,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
35,"Mr. Right Now (feat. Drake)","21 Savage",461458,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
36,"Dreams - 2004 Remaster","Fleetwood Mac",461423,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
37,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",457229,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
