,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
38,"my ex's best friend (with blackbear)","Machine Gun Kelly",450121,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
39,"POPSTAR (feat. Drake)","DJ Khaled",447314,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
40,Sofia,Clairo,445192,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
41,"Martin & Gina","Polo G",444220,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
42,"Blueberry Faygo","Lil Mosey",444093,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
43,Wonder,"Shawn Mendes",436293,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
44,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",425621,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
45,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,423749,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
46,"All Girls Are The Same","Juice WRLD",417010,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
47,"SO DONE","The Kid LAROI",413423,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
48,"Levitating (feat. DaBaby)","Dua Lipa",407489,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
49,PRACTICE,DaBaby,406536,https://open.spotify.com/track/4Z5FyQlevoHoa5FsIVKZju
50,"Lucid Dreams","Juice WRLD",393685,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
51,"Spicy (feat. Post Malone)","Ty Dolla $ign",381815,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
52,"Mood Swings (feat. Lil Tjay)","Pop Smoke",381229,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
53,"All I Want for Christmas Is You","Mariah Carey",380099,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
54,"24 (feat. Lil Baby)","Money Man",379000,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
55,Robbery,"Juice WRLD",378734,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
56,Runnin,"21 Savage",373528,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
57,Circles,"Post Malone",371682,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
58,Daisy,Ashnikko,361298,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
59,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",355743,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
60,"Before You Go","Lewis Capaldi",354295,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
61,"Someone You Loved","Lewis Capaldi",351494,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
62,"The Box","Roddy Ricch",349755,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
63,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,345632,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
64,Golden,"Harry Styles",344845,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
65,"Smile (with The Weeknd)","Juice WRLD",330429,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
66,"Sweater Weather","The Neighbourhood",328135,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
67,"Savage Love (Laxed - Siren Beat)","Jawsh 685",322119,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
68,"Go Crazy","Chris Brown",321346,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
69,"Midnight Sky","Miley Cyrus",317118,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
70,"SLOW DANCING IN THE DARK",Joji,314742,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
71,"Better Together","Luke Combs",314330,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
72,"Train Wreck","James Arthur",312060,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
73,Weeeeee,"Trippie Redd",309627,https://open.spotify.com/track/2PI3qpTqYowwMzOSQRuj73
74,"Excitement (feat. PARTYNEXTDOOR)","Trippie Redd",307705,https://open.spotify.com/track/7FullO2NDkyvxLuxYVKINa
75,"Electric Love",BØRNS,302155,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
76,"death bed (coffee for your head)",Powfu,301301,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
77,"Adore You","Harry Styles",298621,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
78,"7 Summers","Morgan Wallen",292705,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy
79,"Got It On Me","Pop Smoke",291511,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
80,"Are You Bored Yet? (feat. Clairo)",Wallows,290520,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
81,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",288960,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
82,"Roses - Imanbek Remix","SAINt JHN",286773,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
83,"hot girl bummer",blackbear,286321,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
84,"GO (feat. Juice WRLD)","The Kid LAROI",285470,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
85,Diamonds,"Sam Smith",284809,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
86,"More Than My Hometown","Morgan Wallen",284238,https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz
87,"Wolves (feat. Post Malone)","Big Sean",283577,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
88,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",282981,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a
89,Righteous,"Juice WRLD",281301,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
90,"Party Girl",StaySolidRocky,280331,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
91,"Head & Heart (feat. MNEK)","Joel Corry",277824,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
92,"After Party","Don Toliver",277194,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
93,"Jocelyn Flores",XXXTENTACION,276139,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
94,"If the World Was Ending - feat. Julia Michaels","JP Saxe",275941,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
95,"Life Is Good (feat. Drake)",Future,275840,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
96,goosebumps,"Travis Scott",274970,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
97,"Daddy Issues","The Neighbourhood",274904,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
98,"Sleepy Hollow","Trippie Redd",273118,https://open.spotify.com/track/1ikNTTRcnmMOTDpespZsQ7
99,21,"Polo G",266596,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
100,"Rags2Riches 2 (feat. Lil Baby)","Rod Wave",266176,https://open.spotify.com/track/0qJeyYAgv6UpvewUxRXAhb
101,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",265278,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
102,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",264705,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
103,Falling,"Harry Styles",264648,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
104,Whoopty,CJ,262997,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
105,"Whiskey Glasses","Morgan Wallen",262936,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
106,"Star Shopping","Lil Peep",262402,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
107,"Beautiful Crazy","Luke Combs",259672,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
108,"Rain On Me (with Ariana Grande)","Lady Gaga",258911,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
109,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,257801,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
110,"Take You Dancing","Jason Derulo",255780,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
111,"Rockin' Around The Christmas Tree","Brenda Lee",254850,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
112,"forget me too (feat. Halsey)","Machine Gun Kelly",254419,https://open.spotify.com/track/1VSuFS7PahCN3SWbOcQ98m
113,Dior,"Pop Smoke",253521,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
114,"One Of Them Girls","Lee Brice",253364,https://open.spotify.com/track/14GwnOeC9qYEKEA6uOZepa
115,"Ballin' (with Roddy Ricch)",Mustard,251281,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
116,Falling,"Trevor Daniel",251068,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
117,"Sunday Best",Surfaces,250762,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
118,"Pretty Heart","Parker McCollum",249636,https://open.spotify.com/track/6vC90OOjZR165Hw8CpsqEm
119,Hawái,Maluma,246781,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
120,"HIGHEST IN THE ROOM","Travis Scott",246488,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
121,"Intentions (feat. Quavo)","Justin Bieber",244529,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
122,"Last Christmas",Wham!,244314,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
123,"Deep End",Fousheé,244144,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
124,"lovely (with Khalid)","Billie Eilish",243622,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
125,"Santa Tell Me","Ariana Grande",243400,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
126,"WHATS POPPIN","Jack Harlow",243046,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
127,ROXANNE,"Arizona Zervas",242315,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
128,"Jingle Bell Rock","Bobby Helms",240515,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
129,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",240452,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
130,"20 Min","Lil Uzi Vert",239952,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
131,"Chasin' You","Morgan Wallen",239648,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
132,"We Paid (feat. 42 Dugg)","Lil Baby",239567,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
133,July,"Noah Cyrus",239055,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
134,Bang!,AJR,236297,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
135,"Onna Come Up","Lil Eazzyy",235963,https://open.spotify.com/track/3NxFTRr0692mbC5hD0nEZD
136,"It's the Most Wonderful Time of the Year","Andy Williams",234670,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
137,"It's Beginning to Look a Lot like Christmas","Michael Bublé",233575,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
138,"Breaking Me",Topic,233547,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
139,"SICKO MODE","Travis Scott",232877,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
140,"Stuck with U (with Justin Bieber)","Ariana Grande",231924,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
141,SAD!,XXXTENTACION,230385,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
142,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",227939,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
143,"Kacey Talk","YoungBoy Never Broke Again",226341,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
144,Losses,"Lil Tjay",224397,https://open.spotify.com/track/3bAzFi7wGuOXJdgOYyFDSW
145,"The Less I Know The Better","Tame Impala",224198,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
146,Conversations,"Juice WRLD",223949,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
147,MORE,K/DA,223761,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
148,"No Role Modelz","J. Cole",223293,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
149,"Said Sum (feat. City Girls & DaBaby) - Remix","Moneybagg Yo",223057,https://open.spotify.com/track/13VXVxePp4NUiXwtmQ0viz
150,"Tongue Tied",Grouplove,220617,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
151,"Godzilla (feat. Juice WRLD)",Eminem,220394,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
152,"I Fall Apart","Post Malone",218810,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
153,"Never Change (feat. Future)","Trippie Redd",218237,https://open.spotify.com/track/6BfdcIPOdGPMxlLKhgDW4f
154,"Blood // Water",grandson,217927,https://open.spotify.com/track/0AUyNF6iFxMNQsNx2nhtrw
155,"Flex (feat. Juice WRLD)","Polo G",217075,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
156,"Heartless (feat. Morgan Wallen)",Diplo,216525,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk
157,"Say You Won't Let Go","James Arthur",216221,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
158,"High Fashion (feat. Mustard)","Roddy Ricch",215870,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
159,BOP,DaBaby,215625,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
160,"MIDDLE CHILD","J. Cole",215230,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
161,"Without You","Luke Combs",214410,https://open.spotify.com/track/3zxAw8PaqpeGZ3Pakkxv3J
162,"Glock In My Lap","21 Savage",213666,https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k
163,"Mad at Disney","salem ilese",212775,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
164,"I Hope","Gabby Barrett",212671,https://open.spotify.com/track/23T0OX7QOiIUFShSzbJ5Uo
165,"Look Over Your Shoulder (feat. Kendrick Lamar)","Busta Rhymes",211864,https://open.spotify.com/track/00R0fEFZGb5hyTgF1nrRCq
166,"Space Cadet (feat. Gunna)","Metro Boomin",210397,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
167,"Ice Cream (with Selena Gomez)",BLACKPINK,210346,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
168,PTSD,"G Herbo",210027,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
169,"Girls in the Hood","Megan Thee Stallion",209396,https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh
170,"No Guidance (feat. Drake)","Chris Brown",208886,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
171,"Toosie Slide",Drake,208733,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
172,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,207811,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
173,"XO Tour Llif3","Lil Uzi Vert",207583,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
174,"Heart Of Glass (Live from the iHeart Festival)","Miley Cyrus",207537,https://open.spotify.com/track/5i7ThJfYLAzp2DyZuFpF6j
175,"Armed And Dangerous","Juice WRLD",207507,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
176,Promiscuous,"Nelly Furtado",206809,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
177,"THE SCOTTS","THE SCOTTS",206664,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
178,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",206301,https://open.spotify.com/track/1Z0cZI0UzNbP9L8MzzGxqf
179,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",205923,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
180,"Beer Never Broke My Heart","Luke Combs",205745,https://open.spotify.com/track/7aEtlGHoiPAfRB084NiDmx
181,"everything i wanted","Billie Eilish",205453,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
182,"10,000 Hours (with Justin Bieber)","Dan + Shay",205089,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
183,"Cover Me Up","Morgan Wallen",204592,https://open.spotify.com/track/7Jd0VVrzeTTWipxSzJ81aC
184,"Got What I Got","Jason Aldean",204489,https://open.spotify.com/track/4TCc369aRPRubv1m8R1TBG
185,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",203872,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
186,"The Code (feat. Polo G)","King Von",203208,https://open.spotify.com/track/5NOUjBikzECEJyZMTxtErD
187,"Blueberry Eyes (feat. SUGA of BTS)",MAX,202932,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
188,"Don't Start Now","Dua Lipa",201919,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
189,"GREECE (feat. Drake)","DJ Khaled",200524,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
190,"when the party's over","Billie Eilish",200149,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
191,"7 rings","Ariana Grande",200071,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
192,"Dance Monkey","Tones And I",200027,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
193,"bad guy","Billie Eilish",199758,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
194,"Hit Different",SZA,199143,https://open.spotify.com/track/7Bar1kLTmsRmH6FCKKMEyU
195,"Stay Down (with 6LACK & Young Thug)","Lil Durk",199060,https://open.spotify.com/track/6w4PV16oMh5I6ZOCvig0hK
196,"Money Trees","Kendrick Lamar",199014,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
197,"we fell in love in october","girl in red",198417,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
198,"rockstar (feat. 21 Savage)","Post Malone",197473,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
199,Wow.,"Post Malone",196251,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
200,"Murder On My Mind","YNW Melly",195567,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
