,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",1899698,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,34+35,"Ariana Grande",1787853,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
3,"motive (with Doja Cat)","Ariana Grande",1312460,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
4,"Mood (feat. iann dior)",24kGoldn,1294150,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,"Monster Mash","Bobby ""Boris"" Pickett",1257131,https://open.spotify.com/track/0xxZY5C9xxij3D1HkzbnfC
6,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1231732,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
7,"off the table (with The Weeknd)","Ariana Grande",1153829,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
8,"WAP (feat. Megan Thee Stallion)","Cardi B",1119556,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
9,Thriller,"Michael Jackson",1107946,https://open.spotify.com/track/3S2R0EVwBSAVMd5UMgKTL0
10,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1099055,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
11,Ghostbusters,"Ray Parker Jr.",1076047,https://open.spotify.com/track/6thXB4RmajS4oZPNiBAKy0
12,"just like magic","Ariana Grande",1067207,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
13,pov,"Ariana Grande",1052269,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
14,"shut up","Ariana Grande",995920,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
15,nasty,"Ariana Grande",970206,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
16,"safety net (feat. Ty Dolla $ign)","Ariana Grande",951198,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
17,"Laugh Now Cry Later (feat. Lil Durk)",Drake,948453,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
18,"six thirty","Ariana Grande",896957,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
19,"Blinding Lights","The Weeknd",887838,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
20,"my hair","Ariana Grande",883124,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
21,Dakiti,"Bad Bunny",877051,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
22,"What You Know Bout Love","Pop Smoke",875393,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
23,"Forever After All","Luke Combs",794532,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
24,obvious,"Ariana Grande",784779,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA
25,"Tyler Herro","Jack Harlow",783953,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
26,"love language","Ariana Grande",777766,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq
27,"west side","Ariana Grande",777564,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
28,"This Is Halloween","The Citizens of Halloween",772504,https://open.spotify.com/track/0yURuYmnz9tl4K04e5Y6aQ
29,"Put Your Records On","Ritt Momney",713447,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
30,"Holy (feat. Chance The Rapper)","Justin Bieber",712797,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
31,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,671939,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
32,"Come & Go (with Marshmello)","Juice WRLD",647106,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
