,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
33,"Lonely (with benny blanco)","Justin Bieber",610346,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
34,"Somebody's Watching Me - Single Version",Rockwell,602613,https://open.spotify.com/track/513JwqDfENCJ0Woi0T42qy
35,Dynamite,BTS,597732,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
36,"Wishing Well","Juice WRLD",590220,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
37,"POPSTAR (feat. Drake)","DJ Khaled",583850,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
38,"Dreams - 2004 Remaster","Fleetwood Mac",581400,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
39,"Highway to Hell",AC/DC,568792,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
40,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",562991,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
41,"Levitating (feat. DaBaby)","Dua Lipa",553947,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
42,"Mr. Right Now (feat. Drake)","21 Savage",552060,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
43,"Watermelon Sugar","Harry Styles",528207,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
44,"Blueberry Faygo","Lil Mosey",526468,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
45,"you broke me first","Tate McRae",523521,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
46,"(Don't Fear) The Reaper","Blue Öyster Cult",519922,https://open.spotify.com/track/5QTxFnGygVM4jFQiBovmRo
47,"my ex's best friend (with blackbear)","Machine Gun Kelly",503926,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
48,"bad guy","Billie Eilish",494922,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
49,Disturbia,Rihanna,493917,https://open.spotify.com/track/30VrBsh1STRBoIrhQOAwzK
50,Heather,"Conan Gray",491967,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
51,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,489865,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
52,"Roses - Imanbek Remix","SAINt JHN",487791,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
53,"Martin & Gina","Polo G",487370,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
54,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",481450,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
55,"Spicy (feat. Post Malone)","Ty Dolla $ign",480514,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
56,"Superstition - Single Version","Stevie Wonder",479446,https://open.spotify.com/track/1h2xVEoJORqrg71HocgqXd
57,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",463913,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
58,Wonder,"Shawn Mendes",456204,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
59,"Mood Swings (feat. Lil Tjay)","Pop Smoke",450752,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
60,PRACTICE,DaBaby,450233,https://open.spotify.com/track/4Z5FyQlevoHoa5FsIVKZju
61,Runnin,"21 Savage",448948,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
62,"24 (feat. Lil Baby)","Money Man",446370,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
63,"Savage Love (Laxed - Siren Beat)","Jawsh 685",443185,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
64,"All Girls Are The Same","Juice WRLD",437642,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
65,Sofia,Clairo,433637,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
66,"Lucid Dreams","Juice WRLD",429573,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
67,"A Nightmare on My Street","DJ Jazzy Jeff & The Fresh Prince",428724,https://open.spotify.com/track/2aRjuScpka878tUWOsLYpQ
68,"Midnight Sky","Miley Cyrus",427693,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
69,"The Box","Roddy Ricch",424284,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
70,Robbery,"Juice WRLD",414607,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
71,"SO DONE","The Kid LAROI",412599,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
72,"SICKO MODE","Travis Scott",409066,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
73,Weeeeee,"Trippie Redd",407498,https://open.spotify.com/track/2PI3qpTqYowwMzOSQRuj73
74,"Go Crazy","Chris Brown",400412,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
75,Circles,"Post Malone",398715,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
76,Daisy,Ashnikko,398235,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
77,Golden,"Harry Styles",369086,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
78,"Never Change (feat. Future)","Trippie Redd",365362,https://open.spotify.com/track/6BfdcIPOdGPMxlLKhgDW4f
79,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",364982,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
80,"Excitement (feat. PARTYNEXTDOOR)","Trippie Redd",360515,https://open.spotify.com/track/7FullO2NDkyvxLuxYVKINa
81,"Smile (with The Weeknd)","Juice WRLD",355848,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
82,"Time Warp","Little Nell",353275,https://open.spotify.com/track/4WFeJTXNHIS2wURtwlAkhu
83,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,349777,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
84,"Midnight City",M83,342998,https://open.spotify.com/track/1eyzqe2QqGZUmfcPZtrIyt
85,"Got It On Me","Pop Smoke",342120,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
86,"Thriller - 2003 Edit","Michael Jackson",341643,https://open.spotify.com/track/0wQy2OO7jKjm0OOmA7gv3f
87,"Werewolves of London - 2007 Remaster","Warren Zevon",339428,https://open.spotify.com/track/6kotXaSQaGYxE62hVpdHWu
88,goosebumps,"Travis Scott",338378,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
89,"Head & Heart (feat. MNEK)","Joel Corry",338187,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
90,"Look Over Your Shoulder (feat. Kendrick Lamar)","Busta Rhymes",335908,https://open.spotify.com/track/00R0fEFZGb5hyTgF1nrRCq
91,"After Party","Don Toliver",334860,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
92,"Life Is Good (feat. Drake)",Future,332562,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
93,"Someone You Loved","Lewis Capaldi",332476,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
94,"Party Girl",StaySolidRocky,329612,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
95,"Better Together","Luke Combs",326634,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
96,"Before You Go","Lewis Capaldi",324114,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
97,"7 Summers","Morgan Wallen",322255,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy
98,Losses,"Lil Tjay",321954,https://open.spotify.com/track/3bAzFi7wGuOXJdgOYyFDSW
99,"Wolves (feat. Post Malone)","Big Sean",321410,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
100,Promiscuous,"Nelly Furtado",319720,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
101,"hot girl bummer",blackbear,319523,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
102,"Sweater Weather","The Neighbourhood",317967,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
103,"Stranger Things","Kyle Dixon & Michael Stein",317907,https://open.spotify.com/track/0kwuKfWntoGh0EWyYb7Mpf
104,"Kid That Kidd (feat. Future and Doe Boy)","Trippie Redd",314019,https://open.spotify.com/track/6EudabsFkMkxL9ZDVDqn0W
105,"Monster Mash","Bobby ""Boris"" Pickett",313452,https://open.spotify.com/track/6GmL39a9OazWtyMkAbJz7v
106,"Electric Love",BØRNS,313025,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
107,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,312628,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
108,"I Put a Spell On You","Screamin' Jay Hawkins",312130,https://open.spotify.com/track/3sLhMSePzxSrmxluIqeoAZ
109,"More Than My Hometown","Morgan Wallen",310409,https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz
110,"Adore You","Harry Styles",310345,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
111,Dior,"Pop Smoke",309767,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
112,"Sweet but Psycho","Ava Max",308483,https://open.spotify.com/track/3tNE4i6TBqMdyTZxHDAn9B
113,"death bed (coffee for your head)",Powfu,306460,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
114,"You Spin Me Round (Like a Record)","Dead Or Alive",306385,https://open.spotify.com/track/7uHO4AmKtyGa5v5fsElGoC
115,"Black Magic Woman - Single Version",Santana,306229,https://open.spotify.com/track/4YMQXzscifAREG0a7KNGhB
116,Hawái,Maluma,306177,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
117,21,"Polo G",304235,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
118,"Whiskey Glasses","Morgan Wallen",302971,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
119,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",302932,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a
120,"HIGHEST IN THE ROOM","Travis Scott",301939,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
121,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",301421,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
122,Diamonds,"Sam Smith",301056,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
123,"Rags2Riches 2 (feat. Lil Baby)","Rod Wave",299697,https://open.spotify.com/track/0qJeyYAgv6UpvewUxRXAhb
124,"Stay Down (with 6LACK & Young Thug)","Lil Durk",294529,https://open.spotify.com/track/6w4PV16oMh5I6ZOCvig0hK
125,"Ballin' (with Roddy Ricch)",Mustard,294325,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
126,ROXANNE,"Arizona Zervas",293642,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
127,Righteous,"Juice WRLD",293545,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
128,"Rain On Me (with Ariana Grande)","Lady Gaga",293428,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
129,"GO (feat. Juice WRLD)","The Kid LAROI",293409,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
130,"Sleepy Hollow","Trippie Redd",293344,https://open.spotify.com/track/1ikNTTRcnmMOTDpespZsQ7
131,"Halloween Theme - Main Title","John Carpenter",293305,https://open.spotify.com/track/7swocJUCUWTCiRUAU9oerC
132,"SLOW DANCING IN THE DARK",Joji,291706,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
133,"Girls in the Hood","Megan Thee Stallion",290193,https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh
134,Zombie,"The Cranberries",290009,https://open.spotify.com/track/2IZZqH4K02UIYg5EohpNHF
135,"We Paid (feat. 42 Dugg)","Lil Baby",289822,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
136,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",286831,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
137,"WHATS POPPIN","Jack Harlow",285509,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
138,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",283032,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
139,"Take You Dancing","Jason Derulo",281582,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
140,"forget me too (feat. Halsey)","Machine Gun Kelly",281564,https://open.spotify.com/track/1VSuFS7PahCN3SWbOcQ98m
141,"Sympathy For The Devil - 50th Anniversary Edition","The Rolling Stones",280233,https://open.spotify.com/track/1Ud6moTC0KyXMq1Oxfien0
142,"Are You Bored Yet? (feat. Clairo)",Wallows,279922,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
143,"Beautiful Crazy","Luke Combs",279791,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
144,Toxic,"Britney Spears",279204,https://open.spotify.com/track/6I9VzXrHxO9rA9A5euc8Ak
145,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",279197,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
146,"Intentions (feat. Quavo)","Justin Bieber",278495,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
147,Whoopty,CJ,278225,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
148,"Say So","Doja Cat",277286,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
149,"Said Sum (feat. City Girls & DaBaby) - Remix","Moneybagg Yo",276803,https://open.spotify.com/track/13VXVxePp4NUiXwtmQ0viz
150,"Train Wreck","James Arthur",276480,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
151,"Sunday Best",Surfaces,275528,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
152,"Sweet Dreams (Are Made of This) - Remastered",Eurythmics,274407,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
153,"Hungry Like the Wolf - 2009 Remaster","Duran Duran",273530,https://open.spotify.com/track/39lSeqnyjZJejRuaREfyLL
154,"Breaking Me",Topic,270166,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
155,BOP,DaBaby,268426,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
156,"One Of Them Girls","Lee Brice",267767,https://open.spotify.com/track/14GwnOeC9qYEKEA6uOZepa
157,"Toosie Slide",Drake,265921,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
158,Falling,"Trevor Daniel",265734,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
159,"Jocelyn Flores",XXXTENTACION,265173,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
160,"20 Min","Lil Uzi Vert",263807,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
161,"She Wolf",Shakira,262435,https://open.spotify.com/track/4cS2HQ6jK80vqdY9ofpztx
162,"Pretty Heart","Parker McCollum",261109,https://open.spotify.com/track/6vC90OOjZR165Hw8CpsqEm
163,"This is Halloween - Pop Version","Marilyn Manson",259645,https://open.spotify.com/track/2KUL1Ix9grxAWvIAft9EWL
164,"THE SCOTTS","THE SCOTTS",257557,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
165,"Chasin' You","Morgan Wallen",256256,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
166,"Spooky, Scary Skeletons - Undead Tombstone Remix","Andrew Gold",255273,https://open.spotify.com/track/1sUdq3kWa9dJXHu3eYOUll
167,"If the World Was Ending - feat. Julia Michaels","JP Saxe",254823,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
168,"Daddy Issues","The Neighbourhood",253355,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
169,"Spooky, Scary Skeletons","Andrew Gold",252108,https://open.spotify.com/track/23V08GxMeaZNSf8Gy6KF6t
170,"Beer Never Broke My Heart","Luke Combs",251849,https://open.spotify.com/track/7aEtlGHoiPAfRB084NiDmx
171,MORE,K/DA,251779,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
172,"GREECE (feat. Drake)","DJ Khaled",251657,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
173,"No Guidance (feat. Drake)","Chris Brown",251471,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
174,"Kacey Talk","YoungBoy Never Broke Again",251007,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
175,"Glock In My Lap","21 Savage",249997,https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k
176,"No Role Modelz","J. Cole",248934,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
177,"High Fashion (feat. Mustard)","Roddy Ricch",248799,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
178,"Deep End",Fousheé,247999,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
179,"Stuck with U (with Justin Bieber)","Ariana Grande",247931,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
180,Bang!,AJR,247661,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
181,Starboy,"The Weeknd",246510,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
182,"Heartless (feat. Morgan Wallen)",Diplo,244595,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk
183,"Onna Come Up","Lil Eazzyy",244284,https://open.spotify.com/track/3NxFTRr0692mbC5hD0nEZD
184,Conversations,"Juice WRLD",243878,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
185,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",243385,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
186,"MIDDLE CHILD","J. Cole",241866,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
187,"7 rings","Ariana Grande",241690,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
188,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",240026,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
189,SAD!,XXXTENTACION,239758,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
190,"The Less I Know The Better","Tame Impala",239329,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
191,"Calling All the Monsters","China Anne McClain",238753,https://open.spotify.com/track/0hnHoQbEQOL4YUZ4SO6xbe
192,"Tongue Tied",Grouplove,238379,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
193,September,"Earth Wind & Fire",238174,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
194,"Heart Of Glass (Live from the iHeart Festival)","Miley Cyrus",237828,https://open.spotify.com/track/5i7ThJfYLAzp2DyZuFpF6j
195,Falling,"Harry Styles",237181,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
196,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",236605,https://open.spotify.com/track/1Z0cZI0UzNbP9L8MzzGxqf
197,"Without You","Luke Combs",236414,https://open.spotify.com/track/3zxAw8PaqpeGZ3Pakkxv3J
198,"Godzilla (feat. Juice WRLD)",Eminem,236187,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
199,"Psycho Killer - 2005 Remaster","Talking Heads",234706,https://open.spotify.com/track/1i6N76fftMZhijOzFQ5ZtL
200,"Flex (feat. Juice WRLD)","Polo G",234506,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
