,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Ransom,"Lil Tecca",5299475,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
2,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,5298488,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
